Age,Sex,Method_of_payment,Fidelizacion_media,Discount_type,Discount,Count_classes,Times_per_week,Favorite_class,Income,Current_membership,Fidelizacion_alta
33.0,1,0,1,13,0.0,208.0,3.0,6,1397.66,8,1
34.0,1,0,1,13,0.0,172.0,2.0,6,822.5,15,1
30.0,0,0,1,13,0.0,259.0,4.0,6,1630.0,3,1
31.0,1,0,0,13,0.0,1.0,0.0,3,135.0,10,0
29.0,1,0,1,13,0.0,50.0,1.0,6,560.0,10,0
36.0,0,2,1,13,0.0,221.0,2.0,6,1814.74,0,1
23.0,1,2,0,13,0.0,31.0,1.0,7,35.0,19,0
21.0,1,1,1,13,0.0,3.0,0.0,6,122.98,26,1
33.0,1,1,0,13,0.0,31.0,1.0,7,0.0,26,0
27.0,0,1,0,13,0.0,9.0,1.0,6,70.0,10,0
30.0,1,0,1,13,0.0,138.0,2.0,6,725.0,15,1
31.0,0,0,0,13,0.0,6.0,0.0,6,260.0,15,0
29.0,0,1,0,12,5.0,7.0,4.0,6,133.0,10,0
28.0,0,0,0,13,0.0,91.0,4.0,6,830.0,10,0
28.0,1,1,0,13,0.0,19.0,1.0,6,355.16,15,0
32.0,1,0,1,6,10.0,276.0,4.0,6,1176.05,3,1
26.0,1,0,0,6,10.0,15.0,1.0,6,138.8,10,0
29.0,0,1,0,13,0.0,9.0,1.0,6,33.55,15,0
38.0,0,1,1,13,0.0,13.0,0.0,6,99.0,0,1
33.0,0,1,0,1,10.0,17.0,1.0,6,351.0,18,0
41.0,0,0,1,13,0.0,104.0,2.0,6,650.0,15,1
30.0,0,0,1,13,0.0,107.0,2.0,6,1005.0,23,1
33.0,0,1,1,13,0.0,39.0,1.0,6,280.0,12,0
34.0,0,1,1,13,0.0,98.0,1.0,1,1130.0,8,1
32.0,0,0,1,1,10.0,66.0,1.0,6,180.0,15,1
32.0,1,0,1,0,10.0,75.0,1.0,6,0.0,26,1
38.0,0,0,0,13,0.0,13.0,0.0,6,364.68,23,0
27.0,0,1,0,13,0.0,5.0,0.0,6,169.0,23,0
